Customer_ID,Total_Spent,Avg_Transaction,Num_Purchases,Avg_Rating,Returns,Age
1000,5913.0,1182.6,5,4.6,0,56
1001,474.76,474.76,1,5.0,0,48
1002,2904.42,1452.21,2,2.5,0,32
1003,4974.04,2487.02,2,4.5,0,66
1004,5726.38,2863.19,2,3.5,0,36
1005,7063.13,1765.78,4,5.0,0,33
1006,2059.64,1029.82,2,4.5,0,44
1007,2505.27,1252.64,2,4.5,0,43
1008,2392.66,1196.33,2,4.0,0,50
1009,969.31,969.31,1,5.0,0,50
1010,1837.01,612.34,3,2.67,0,60
1011,3220.67,644.13,5,4.2,0,39
1012,5596.68,1119.34,5,4.4,0,66
1013,3787.15,946.79,4,4.5,0,43
1014,1555.62,777.81,2,3.5,0,54
1015,6107.24,872.46,7,4.29,0,62
1016,4438.37,1479.46,3,4.67,0,65
1017,463.98,463.98,1,5.0,0,30
1018,8554.17,1425.7,6,3.33,0,63
1019,762.18,381.09,2,4.5,0,47
1020,7120.16,1424.03,5,4.6,0,28
1021,5793.7,1931.23,3,3.67,0,55
1022,3918.57,1306.19,3,5.0,2,47
1023,653.48,653.48,1,5.0,0,49
1024,5182.94,1727.65,3,4.67,0,41
1025,5791.99,1158.4,5,4.2,0,22
1026,3153.77,1051.26,3,4.33,1,33
1027,2719.01,2719.01,1,5.0,0,33
1028,10127.63,1687.94,6,3.83,1,30
1029,3203.82,1067.94,3,3.0,0,34
1030,6842.36,1710.59,4,3.25,0,34
1031,2008.19,669.4,3,3.33,0,40
1032,154.52,154.52,1,5.0,0,19
1033,1244.83,1244.83,1,5.0,0,24
1034,2865.28,955.09,3,4.0,0,55
1035,3656.17,1218.72,3,4.67,1,49
1036,2011.0,1005.5,2,1.0,1,54
1037,1381.86,690.93,2,3.5,0,22
1038,5073.3,1268.32,4,4.75,1,50
1039,4052.21,2026.1,2,4.5,0,37
1040,272.32,272.32,1,3.0,0,23
1041,4038.6,1346.2,3,3.67,0,63
1042,3278.14,1639.07,2,4.5,0,51
1043,153.56,153.56,1,4.0,0,48
1044,5986.84,997.81,6,3.83,0,30
1045,174.34,87.17,2,4.5,0,55
1046,7004.69,2334.9,3,3.67,1,44
1047,5270.83,1756.94,3,4.33,1,32
1048,5649.36,1129.87,5,3.8,0,32
1049,3227.26,3227.26,1,5.0,0,30
1050,172.52,172.52,1,5.0,0,40
1051,2302.42,767.47,3,4.33,0,19
1052,5938.36,1187.67,5,4.4,1,64
1053,3041.49,1520.74,2,5.0,0,48
1054,2315.58,1157.79,2,3.0,0,33
1055,7034.47,1406.89,5,4.0,0,41
1056,5816.91,1163.38,5,4.0,0,61
1057,5664.06,1132.81,5,4.2,3,23
1058,3685.14,1228.38,3,4.33,0,62
1059,2752.18,917.39,3,3.33,0,66
1060,1565.53,1565.53,1,4.0,0,51
1061,8510.13,2127.53,4,5.0,2,51
1062,2441.72,2441.72,1,5.0,0,18
1063,7737.88,1934.47,4,4.25,1,30
1064,3967.68,1322.56,3,3.67,0,52
1065,5189.54,1729.85,3,4.67,0,56
1066,2820.79,940.26,3,4.0,0,54
1067,7072.6,1768.15,4,4.25,0,21
1068,3156.58,1052.19,3,4.67,0,21
1069,3066.29,1022.1,3,3.33,0,60
1070,2858.18,714.55,4,3.75,0,42
1071,4899.16,979.83,5,4.0,0,40
1072,2804.35,1402.18,2,4.0,1,61
1073,4186.11,1395.37,3,4.33,0,69
1074,3593.82,1197.94,3,3.67,0,18
1075,5881.7,1176.34,5,4.2,2,66
1076,570.38,570.38,1,5.0,0,43
1077,897.29,448.65,2,3.0,0,24
1078,8903.4,1483.9,6,3.0,1,66
1079,2324.09,2324.09,1,1.0,0,63
1081,3434.43,1717.22,2,4.5,0,45
1082,4443.7,1110.92,4,4.25,1,24
1083,4494.41,1123.6,4,4.25,1,46
1084,6402.91,1067.15,6,4.83,0,46
1085,2655.82,1327.91,2,5.0,0,65
1086,6881.23,1720.31,4,4.75,0,30
